Culture Test ID,Culture Sample 1 Timestamp,Beach,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Culture Note,Culture Sample Interval,Culture Sample 2 Timestamp,DNA Test ID,DNA Sample Timestamp,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean
113127,06/29/2016 07:22:00 AM,Ohio Street,10.0,14.0,11.8,,1,06/29/2016 07:23:00 AM,1023,06/29/2016 11:47:00 AM,11.0,5.0,7.4
113136,06/29/2016 10:40:00 AM,Fargo,31.0,45.0,37.3,,1,06/29/2016 10:41:00 AM,,,,,
113132,06/29/2016 09:45:00 AM,Foster,31.0,22.0,26.1,,1,06/29/2016 09:46:00 AM,,,,,
113138,06/29/2016 10:55:00 AM,Rogers,32.0,29.0,30.5,,1,06/29/2016 10:56:00 AM,,,,,
113139,06/29/2016 10:50:00 AM,Juneway,26.0,33.0,29.3,,1,06/29/2016 10:51:00 AM,,,,,
113137,06/29/2016 11:00:00 AM,Howard,51.0,55.0,53.0,,1,06/29/2016 11:01:00 AM,,,,,
113150,06/30/2016 07:37:00 AM,North Avenue,11.0,24.0,16.2,,1,06/30/2016 07:38:00 AM,1006,06/30/2016 11:55:00 AM,19.0,179.0,58.3
113146,06/30/2016 06:31:00 AM,Margaret T Burroughs,23.0,7.0,12.7,,1,06/30/2016 06:32:00 AM,1005,06/30/2016 11:54:00 AM,94.0,31.0,54.0
113142,06/30/2016 07:35:00 AM,South Shore,13.0,25.0,18.0,,5,06/30/2016 07:40:00 AM,1029,06/30/2016 11:56:00 AM,239.0,126.0,173.5
113140,06/30/2016 07:00:00 AM,Calumet,44.0,36.0,39.8,,5,06/30/2016 07:05:00 AM,1026,06/30/2016 11:53:00 AM,84.0,78.0,80.9
113143,06/30/2016 07:50:00 AM,63rd Street,49.0,43.0,45.9,,5,06/30/2016 07:55:00 AM,1008,06/30/2016 11:56:00 AM,455.0,157.0,267.3
113145,06/30/2016 08:10:00 AM,Oakwood,5.0,2.0,3.2,,5,06/30/2016 08:15:00 AM,,,,,
113149,06/30/2016 07:25:00 AM,Oak Street,10.0,12.0,11.0,,2,06/30/2016 07:27:00 AM,,,,,
113141,06/30/2016 07:20:00 AM,Rainbow,17.0,39.0,25.7,,5,06/30/2016 07:25:00 AM,1007,06/30/2016 11:55:00 AM,39.0,58.0,47.6
113148,06/30/2016 07:06:00 AM,Ohio Street,4.0,3.0,3.5,,2,06/30/2016 07:08:00 AM,1028,06/30/2016 11:55:00 AM,7.0,4.0,5.3
113144,06/30/2016 08:00:00 AM,57th Street,5.0,4.0,4.5,,5,06/30/2016 08:05:00 AM,,,,,
113147,06/30/2016 06:44:00 AM,12th Street,10.0,4.0,6.3,,1,06/30/2016 06:45:00 AM,1041,06/30/2016 11:56:00 AM,7.0,154.0,32.8
113159,06/30/2016 10:50:00 AM,Rogers,3.0,2.0,2.4,,1,06/30/2016 10:51:00 AM,,,,,
113156,06/30/2016 10:25:00 AM,Leone,1.0,4.0,2.0,,1,06/30/2016 10:26:00 AM,,,,,
113158,06/30/2016 10:55:00 AM,Howard,4.0,6.0,4.9,,1,06/30/2016 10:56:00 AM,,,,,
113153,06/30/2016 09:45:00 AM,Foster,3.0,3.0,3.0,,1,06/30/2016 09:46:00 AM,,,,,
113155,06/30/2016 10:15:00 AM,Hartigan,4.0,9.0,6.0,,1,06/30/2016 10:16:00 AM,,,,,
